date,Order_Time,Product_Name,Category,Quantity_Sold1,Price per Unit,Total_Sales_Amount,Region,Country,Customer Type,Discount_Applied,Profit_Loss,Payment Method,Sales_Channel
01-01-2024,05:31:00,Nuts,Snacks,83,136.36,11317.88,South,Australia,Wholesaler,12.93,1791.97,Cash,Offline
07-01-2024,03:53:00,Protein Bars,Snacks,96,138.71,13316.16,East,UK,Retailer,17.35,2654.4,Cash,Wholesale
01-01-2024,08:54:00,Popcorn,Snacks,78,131.21,10234.38,South,Canada,Retailer,9.82,2445.3,Cash,Wholesale
02-01-2024,20:14:00,Yogurt,Dairy,34,74.84,2544.56,North,Australia,Wholesaler,1.29,510.34,Cash,Offline
15-02-2024,02:16:00,Protein Bars,Snacks,86,149.04,12817.44,North,UK,Retailer,17.38,4813.42,Cash,Retail Store
02-01-2024,15:41:00,Popcorn,Snacks,23,29.2,671.6,North,Canada,Online,5.25,180.55,Debit Card,Offline
18-03-2024,06:27:00,Protein Bars,Snacks,85,143.23,12174.55,South,UK,Wholesaler,27.1,4453.15,Credit Card,Wholesale
02-01-2024,08:53:00,Cookies,Bakery,92,132.99,12235.08,West,Germany,Retailer,5.6,1638.52,UPI,Wholesale
02-01-2024,03:31:00,Soft Drink,Beverages,32,142.22,4551.04,North,USA,Retailer,18.31,1482.24,Cash,Retail Store
20-02-2024,11:39:00,Chips,Snacks,78,149.55,11664.9,East,UK,Online,2.55,3047.46,Debit Card,Retail Store
02-01-2024,08:07:00,Soft Drink,Beverages,36,19.06,686.16,West,Germany,Retailer,22.05,79.92,Cash,Offline
02-01-2024,06:35:00,Milk,Dairy,15,148.2,2223,West,Canada,Online,15.89,269.4,UPI,Wholesale
02-01-2024,22:23:00,Butter,Dairy,81,141.07,11426.67,West,India,Online,18.53,1975.59,Debit Card,Offline
02-01-2024,14:59:00,Nuts,Snacks,76,52.78,4011.28,South,Australia,Online,29.04,1162.04,PayPal,Wholesale
02-01-2024,15:49:00,Chips,Snacks,54,132.53,7156.62,East,Canada,Wholesaler,28.55,1832.76,Cash,Offline
18-02-2024,05:53:00,Chips,Snacks,87,114.49,9960.63,West,UK,Retailer,22.88,3378.21,PayPal,Online
02-01-2024,22:31:00,Cakes,Bakery,33,24.23,799.59,South,Canada,Retailer,27.39,199.65,UPI,Offline
02-01-2024,03:25:00,Milk,Dairy,66,22.28,1470.48,East,Canada,Retailer,28.18,305.58,Debit Card,Online
02-01-2024,10:42:00,Protein Bars,Snacks,70,131.09,9176.3,South,USA,Retailer,17.25,2905.7,Debit Card,Retail Store
02-01-2024,18:52:00,Juice,Beverages,22,28.59,628.98,East,India,Online,26.15,163.68,Debit Card,Wholesale
02-01-2024,22:50:00,Bread,Bakery,38,130.25,4949.5,East,Australia,Wholesaler,16.1,1944.08,UPI,Offline
02-01-2024,18:59:00,Muffins,Bakery,77,147.08,11325.16,East,Canada,Online,9.22,3197.04,UPI,Offline
24-03-2024,19:26:00,Nuts,Snacks,92,91.26,8395.92,North,UK,Retailer,6.97,3092.12,PayPal,Online
02-01-2024,10:02:00,Butter,Dairy,80,7.64,611.2,North,Australia,Retailer,16.76,220.8,Cash,Wholesale
02-01-2024,07:23:00,Cookies,Bakery,51,31.45,1603.95,South,USA,Retailer,21.13,346.29,Cash,Offline
02-01-2024,19:13:00,Yogurt,Dairy,41,100.84,4134.44,East,India,Retailer,4.92,1131.19,Debit Card,Retail Store
02-01-2024,10:18:00,Popcorn,Snacks,15,7.33,109.95,North,USA,Retailer,9.21,18,UPI,Wholesale
02-01-2024,09:53:00,Juice,Beverages,22,133.41,2935.02,South,USA,Online,26.79,932.8,Credit Card,Offline
11-02-2024,05:14:00,Nuts,Snacks,77,101.96,7850.92,South,UK,Wholesaler,11.27,1923.46,UPI,Retail Store
02-01-2024,22:27:00,Coffee,Beverages,69,64.52,4451.88,West,India,Online,5.42,1417.95,PayPal,Offline
07-02-2024,07:46:00,Protein Bars,Snacks,77,99.86,7689.22,North,UK,Online,17.81,1984.29,UPI,Offline
03-01-2024,09:19:00,Yogurt,Dairy,53,13.41,710.73,South,USA,Retailer,21.49,227.37,Credit Card,Wholesale
16-01-2024,00:14:00,Nuts,Snacks,66,109.32,7215.12,East,UK,Retailer,15.03,2867.04,Credit Card,Online
03-01-2024,22:19:00,Coffee,Beverages,56,38.77,2171.12,East,India,Online,12.36,598.08,Cash,Online
03-01-2024,16:03:00,Protein Bars,Snacks,74,70.69,5231.06,West,Canada,Wholesaler,28.62,991.6,Debit Card,Online
03-01-2024,11:06:00,Butter,Dairy,78,96.03,7490.34,South,Canada,Wholesaler,28.15,1192.62,Cash,Offline
03-01-2024,17:47:00,Soft Drink,Beverages,45,139.75,6288.75,West,India,Retailer,15.3,2374.2,Debit Card,Offline
04-01-2024,14:39:00,Coffee,Beverages,90,123.31,11097.9,South,Germany,Retailer,9.05,3226.5,UPI,Online
04-01-2024,13:42:00,Milk,Dairy,39,122.7,4785.3,North,Germany,Retailer,16.46,1437.54,UPI,Online
04-01-2024,17:12:00,Cakes,Bakery,99,33.35,3301.65,East,Australia,Wholesaler,3.8,908.82,UPI,Retail Store
04-01-2024,12:14:00,Popcorn,Snacks,62,51.64,3201.68,West,Canada,Wholesaler,20.92,1275.96,Credit Card,Offline
04-01-2024,05:11:00,Protein Bars,Snacks,47,104.67,4919.49,North,Australia,Wholesaler,26.24,1741.82,Debit Card,Offline
04-01-2024,04:11:00,Cakes,Bakery,92,11.64,1070.88,East,India,Wholesaler,24.31,356.04,Cash,Retail Store
05-01-2024,23:02:00,Chips,Snacks,62,25.62,1588.44,East,India,Wholesaler,8.82,584.04,Debit Card,Offline
05-01-2024,02:57:00,Milk,Dairy,6,26.38,158.28,West,Australia,Wholesaler,20.9,39.06,Debit Card,Online
05-01-2024,13:17:00,Protein Bars,Snacks,87,56.56,4920.72,North,USA,Retailer,11.95,1195.38,Credit Card,Online
05-01-2024,07:28:00,Butter,Dairy,13,96.22,1250.86,South,Australia,Wholesaler,10.52,406.64,Cash,Retail Store
05-01-2024,22:35:00,Protein Bars,Snacks,49,123.13,6033.37,West,USA,Wholesaler,22.03,1134.84,Cash,Retail Store
05-01-2024,04:52:00,Protein Bars,Snacks,62,120.55,7474.1,East,Australia,Online,0.51,2621.98,Cash,Retail Store
05-01-2024,22:52:00,Nuts,Snacks,59,82.78,4884.02,North,USA,Wholesaler,15.98,1492.7,Cash,Offline
05-01-2024,15:36:00,Chips,Snacks,41,88.06,3610.46,East,Canada,Online,6.22,1107,Credit Card,Online
05-01-2024,14:38:00,Yogurt,Dairy,74,146.42,10835.08,North,Australia,Wholesaler,27.23,1159.58,Debit Card,Offline
06-01-2024,11:30:00,Yogurt,Dairy,7,77.19,540.33,South,Germany,Retailer,4.8,194.88,Debit Card,Wholesale
06-01-2024,13:52:00,Chips,Snacks,70,114.81,8036.7,East,USA,Retailer,0.75,1304.1,Debit Card,Online
06-01-2024,23:07:00,Bread,Bakery,21,145.29,3051.09,South,USA,Retailer,13.36,307.44,Credit Card,Wholesale
06-01-2024,15:59:00,Cookies,Bakery,30,80.86,2425.8,South,Australia,Wholesaler,24.14,546.9,Debit Card,Online
06-01-2024,14:47:00,Soft Drink,Beverages,68,108.4,7371.2,East,Australia,Wholesaler,4.58,1982.88,UPI,Offline
06-01-2024,23:52:00,Milk,Dairy,13,14.51,188.63,South,Canada,Retailer,6.21,57.33,PayPal,Retail Store
02-01-2024,05:08:00,Nuts,Snacks,56,117.58,6584.48,West,UK,Retailer,2.97,1983.52,PayPal,Offline
07-01-2024,22:31:00,Soft Drink,Beverages,21,113.37,2380.77,North,Australia,Online,0.52,346.29,Debit Card,Online
07-01-2024,06:49:00,Chips,Snacks,57,118.81,6772.17,North,Australia,Online,13.4,1825.14,Credit Card,Wholesale
07-01-2024,20:08:00,Milk,Dairy,94,124.52,11704.88,North,Australia,Wholesaler,0.47,1466.4,Debit Card,Offline
07-01-2024,22:31:00,Muffins,Bakery,58,82.36,4776.88,East,Canada,Retailer,29.48,1477.26,Cash,Wholesale
07-01-2024,06:52:00,Butter,Dairy,55,85.08,4679.4,East,Australia,Retailer,15.24,493.35,PayPal,Retail Store
23-02-2024,16:37:00,Protein Bars,Snacks,63,92.47,5825.61,South,UK,Wholesaler,21.71,1656.9,Debit Card,Wholesale
13-02-2024,22:08:00,Protein Bars,Snacks,50,98.23,4911.5,West,UK,Online,8.44,1472,Debit Card,Online
07-01-2024,05:02:00,Yogurt,Dairy,100,62.78,6278,East,USA,Wholesaler,20.03,1298,PayPal,Retail Store
07-01-2024,12:29:00,Muffins,Bakery,24,31.62,758.88,West,India,Wholesaler,25.98,290.4,Credit Card,Wholesale
07-01-2024,18:38:00,Chips,Snacks,99,34.49,3414.51,South,India,Retailer,9.97,1192.95,PayPal,Online
08-01-2024,01:46:00,Nuts,Snacks,40,137.8,5512,North,India,Wholesaler,14.21,874,Cash,Online
08-01-2024,09:54:00,Soft Drink,Beverages,5,149.06,745.3,South,USA,Retailer,5.95,239.5,UPI,Wholesale
08-01-2024,06:33:00,Muffins,Bakery,14,110.05,1540.7,South,Germany,Retailer,13.49,195.3,Cash,Offline
08-01-2024,12:39:00,Coffee,Beverages,25,48.24,1206,East,India,Online,24.07,222.75,Credit Card,Online
01-01-2024,06:10:00,Popcorn,Snacks,52,91.08,4736.16,North,UK,Wholesaler,15.74,1065.48,Cash,Online
08-01-2024,02:24:00,Milk,Dairy,14,74.82,1047.48,North,Canada,Retailer,24.42,284.34,Credit Card,Offline
08-01-2024,10:50:00,Cheese,Dairy,25,85.7,2142.5,East,Australia,Retailer,17.67,791.5,Credit Card,Retail Store
08-01-2024,10:27:00,Cheese,Dairy,81,85.59,6932.79,North,USA,Retailer,2.22,2334.42,Cash,Online
30-03-2024,15:26:00,Chips,Snacks,83,43.31,3594.73,North,UK,Wholesaler,12.06,1185.24,Debit Card,Online
08-01-2024,18:25:00,Tea,Beverages,31,48.53,1504.43,East,India,Online,22.73,287.06,Cash,Online
08-01-2024,04:27:00,Cheese,Dairy,61,17.96,1095.56,South,Australia,Wholesaler,22.35,359.9,Credit Card,Wholesale
08-01-2024,15:14:00,Cheese,Dairy,46,33.44,1538.24,East,India,Wholesaler,18.13,174.34,UPI,Online
08-01-2024,12:41:00,Soft Drink,Beverages,23,61.82,1421.86,South,USA,Online,3.48,230,Credit Card,Wholesale
09-01-2024,23:08:00,Tea,Beverages,27,88.72,2395.44,South,Germany,Retailer,27.43,829.71,PayPal,Offline
09-01-2024,19:46:00,Muffins,Bakery,80,37.15,2972,North,Australia,Online,5.65,470.4,Cash,Online
09-01-2024,13:26:00,Tea,Beverages,95,117.77,11188.15,North,Canada,Wholesaler,6.19,2790.15,Debit Card,Online
09-01-2024,13:01:00,Soft Drink,Beverages,16,51.41,822.56,West,Australia,Wholesaler,2.52,127.04,Credit Card,Offline
09-01-2024,10:21:00,Nuts,Snacks,49,125.55,6151.95,West,Germany,Online,11.46,2124.64,UPI,Retail Store
07-02-2024,08:32:00,Chips,Snacks,71,46.82,3324.22,South,UK,Online,0.14,852.71,PayPal,Online
09-01-2024,10:33:00,Protein Bars,Snacks,29,79.63,2309.27,North,Australia,Retailer,23.05,758.35,PayPal,Offline
09-01-2024,06:51:00,Juice,Beverages,58,148.98,8640.84,West,USA,Retailer,6.15,1944.16,Credit Card,Wholesale
09-01-2024,16:10:00,Coffee,Beverages,68,56.22,3822.96,East,India,Online,16.37,961.52,UPI,Online
09-01-2024,07:31:00,Tea,Beverages,51,108.17,5516.67,West,India,Retailer,1.59,861.9,UPI,Wholesale
09-01-2024,14:32:00,Nuts,Snacks,20,77.29,1545.8,East,Canada,Online,0.04,283.4,PayPal,Retail Store
09-01-2024,03:45:00,Nuts,Snacks,77,100.39,7730.03,East,Canada,Retailer,3.71,1524.6,PayPal,Online
09-01-2024,04:06:00,Cookies,Bakery,59,38.15,2250.85,South,USA,Retailer,15.24,865.53,Credit Card,Wholesale
09-01-2024,20:18:00,Muffins,Bakery,63,63.46,3997.98,South,Australia,Retailer,18.83,1299.69,Credit Card,Offline
10-01-2024,23:19:00,Nuts,Snacks,77,47.22,3635.94,North,Canada,Wholesaler,19.05,847,Debit Card,Offline
10-01-2024,05:14:00,Milk,Dairy,90,32.54,2928.6,West,Canada,Online,4.11,908.1,UPI,Wholesale
03-02-2024,04:05:00,Protein Bars,Snacks,95,33.33,3166.35,North,UK,Retailer,26.09,730.55,Debit Card,Wholesale
10-01-2024,20:10:00,Popcorn,Snacks,96,116.14,11149.44,South,USA,Online,20.27,4402.56,Credit Card,Wholesale
10-01-2024,21:07:00,Bread,Bakery,64,32.11,2055.04,South,India,Wholesaler,9.35,382.08,Debit Card,Online
11-01-2024,15:45:00,Yogurt,Dairy,73,71.64,5229.72,South,Germany,Retailer,8.52,1289.18,Debit Card,Wholesale
11-01-2024,08:52:00,Juice,Beverages,39,72.53,2828.67,North,Australia,Retailer,5.58,862.29,UPI,Wholesale
11-01-2024,04:46:00,Popcorn,Snacks,24,69.52,1668.48,North,Canada,Online,24.41,197.04,UPI,Online
11-01-2024,05:39:00,Nuts,Snacks,46,148.15,6814.9,South,USA,Retailer,1.18,700.12,Cash,Offline
10-01-2024,04:40:00,Chips,Snacks,33,92.71,3059.43,East,UK,Retailer,11.94,601.92,Cash,Offline
11-01-2024,20:58:00,Milk,Dairy,47,92.96,4369.12,South,Canada,Retailer,24.7,1320.7,UPI,Retail Store
02-01-2024,18:08:00,Protein Bars,Snacks,38,79.02,3002.76,West,UK,Retailer,5.98,553.28,Cash,Wholesale
11-01-2024,04:29:00,Butter,Dairy,81,131.03,10613.43,West,Canada,Online,16.7,3124.17,UPI,Wholesale
11-01-2024,20:45:00,Coffee,Beverages,50,139.94,6997,West,Canada,Retailer,18.2,2786.5,UPI,Online
12-01-2024,02:41:00,Coffee,Beverages,35,31.58,1105.3,West,Germany,Retailer,26.05,403.55,Credit Card,Online
12-01-2024,04:08:00,Tea,Beverages,35,53.61,1876.35,East,Canada,Online,8.6,351.05,UPI,Wholesale
12-01-2024,18:18:00,Soft Drink,Beverages,82,145.14,11901.48,East,Canada,Wholesaler,20.15,3035.64,PayPal,Offline
12-01-2024,12:03:00,Cakes,Bakery,44,142.43,6266.92,South,USA,Online,17.27,1453.32,Cash,Offline
12-01-2024,20:10:00,Cookies,Bakery,47,142.07,6677.29,South,India,Wholesaler,25.04,1445.72,Debit Card,Offline
12-01-2024,15:53:00,Popcorn,Snacks,48,29.38,1410.24,West,Germany,Wholesaler,17.42,322.56,Credit Card,Retail Store
12-01-2024,23:18:00,Coffee,Beverages,6,116.78,700.68,West,USA,Wholesaler,10.57,229.38,Credit Card,Wholesale
12-01-2024,09:11:00,Juice,Beverages,19,135.65,2577.35,East,Germany,Online,19.36,877.04,Credit Card,Online
12-01-2024,16:37:00,Cakes,Bakery,71,61.77,4385.67,East,Germany,Retailer,7.76,1116.83,Cash,Online
12-01-2024,10:56:00,Muffins,Bakery,10,130.54,1305.4,South,USA,Retailer,15.28,146.2,Debit Card,Retail Store
03-03-2024,19:55:00,Nuts,Snacks,51,51.26,2614.26,East,UK,Retailer,26.67,781.83,Credit Card,Online
12-01-2024,19:44:00,Protein Bars,Snacks,39,109.36,4265.04,North,India,Online,13.39,1572.87,Debit Card,Wholesale
12-01-2024,04:55:00,Milk,Dairy,25,52.47,1311.75,East,Canada,Wholesaler,15.15,481,Debit Card,Online
12-01-2024,17:42:00,Cheese,Dairy,76,30.72,2334.72,North,Germany,Retailer,23.01,528.96,Credit Card,Offline
12-01-2024,19:17:00,Cookies,Bakery,44,58.67,2581.48,South,Germany,Retailer,6.66,1013.32,Credit Card,Online
13-01-2024,16:23:00,Protein Bars,Snacks,51,105.37,5373.87,East,USA,Online,3.34,1671.78,Credit Card,Wholesale
13-01-2024,11:13:00,Milk,Dairy,99,27.23,2695.77,South,Germany,Online,10.4,1058.31,PayPal,Online
13-01-2024,10:57:00,Nuts,Snacks,70,93.73,6561.1,North,Germany,Wholesaler,19.13,1309.7,Debit Card,Wholesale
13-01-2024,06:06:00,Juice,Beverages,55,131.1,7210.5,West,India,Wholesaler,4.51,1189.1,Credit Card,Retail Store
13-01-2024,11:15:00,Coffee,Beverages,36,65.56,2360.16,East,Germany,Retailer,18.42,253.08,Credit Card,Offline
15-01-2024,19:56:00,Protein Bars,Snacks,15,143.07,2146.05,South,UK,Online,18.86,232.35,Credit Card,Offline
13-01-2024,19:18:00,Nuts,Snacks,28,109.51,3066.28,North,USA,Online,4.81,716.24,UPI,Online
13-01-2024,22:12:00,Protein Bars,Snacks,26,61.73,1604.98,West,Germany,Wholesaler,14.28,567.84,Debit Card,Wholesale
13-01-2024,11:49:00,Cakes,Bakery,21,91.2,1915.2,East,Germany,Wholesaler,2.93,761.46,Debit Card,Offline
13-01-2024,11:46:00,Cheese,Dairy,11,117.27,1289.97,South,USA,Wholesaler,20.62,412.39,UPI,Retail Store
13-01-2024,16:00:00,Cakes,Bakery,9,108.24,974.16,North,Canada,Retailer,2.8,189.63,Debit Card,Wholesale
13-01-2024,03:01:00,Juice,Beverages,9,54.01,486.09,West,Australia,Retailer,10.14,193.14,UPI,Offline
13-01-2024,22:15:00,Popcorn,Snacks,3,144.48,433.44,East,India,Online,24.5,155.1,PayPal,Offline
13-01-2024,15:59:00,Yogurt,Dairy,34,93.81,3189.54,North,India,Wholesaler,8.43,451.86,UPI,Offline
13-01-2024,19:42:00,Popcorn,Snacks,50,120.55,6027.5,North,Canada,Online,10.81,1799.5,Credit Card,Wholesale
13-01-2024,08:24:00,Juice,Beverages,46,83.03,3819.38,North,Germany,Online,20.99,1251.2,PayPal,Online
13-01-2024,19:40:00,Butter,Dairy,36,85.02,3060.72,West,India,Wholesaler,0.14,678.24,Debit Card,Online
14-01-2024,18:02:00,Tea,Beverages,28,76.64,2145.92,East,Canada,Wholesaler,1.43,577.08,UPI,Offline
14-01-2024,07:06:00,Nuts,Snacks,29,106.61,3091.69,North,India,Online,3.16,990.35,Debit Card,Offline
14-01-2024,01:56:00,Protein Bars,Snacks,76,79.99,6079.24,West,India,Online,14.65,1471.36,Credit Card,Wholesale
14-01-2024,15:29:00,Tea,Beverages,51,73.34,3740.34,West,USA,Retailer,17.51,788.46,Credit Card,Retail Store
14-01-2024,17:17:00,Cheese,Dairy,11,68.39,752.29,South,Australia,Retailer,3.34,132.77,Credit Card,Online
14-01-2024,03:21:00,Muffins,Bakery,83,66.61,5528.63,West,Canada,Online,15.5,679.77,Debit Card,Offline
15-01-2024,23:28:00,Chips,Snacks,71,103.07,7317.97,West,USA,Retailer,8.98,2658.95,Debit Card,Offline
15-01-2024,12:56:00,Protein Bars,Snacks,16,18.52,296.32,West,Canada,Wholesaler,11.64,58.88,UPI,Retail Store
08-02-2024,22:01:00,Protein Bars,Snacks,96,21.24,2039.04,North,UK,Online,14.06,613.44,Debit Card,Online
15-01-2024,05:15:00,Cheese,Dairy,20,66.04,1320.8,North,India,Retailer,25.58,292.6,UPI,Online
15-01-2024,18:58:00,Chips,Snacks,84,50.57,4247.88,East,Australia,Online,6.3,1019.76,PayPal,Wholesale
25-02-2024,01:02:00,Popcorn,Snacks,74,26.95,1994.3,South,UK,Retailer,0.64,611.24,Cash,Offline
16-01-2024,04:48:00,Cookies,Bakery,57,42.21,2405.97,East,Germany,Online,15.62,917.13,Debit Card,Wholesale
16-01-2024,09:42:00,Tea,Beverages,35,65.51,2292.85,West,India,Online,9,802.2,PayPal,Retail Store
16-01-2024,11:41:00,Protein Bars,Snacks,89,143.73,12791.97,East,Germany,Wholesaler,1.24,2168.93,Cash,Offline
16-01-2024,00:31:00,Chips,Snacks,57,145.5,8293.5,East,India,Retailer,10.79,2121.54,Credit Card,Wholesale
17-01-2024,19:18:00,Chips,Snacks,75,26.38,1978.5,West,UK,Retailer,15.5,582,UPI,Wholesale
16-01-2024,06:14:00,Protein Bars,Snacks,99,99.44,9844.56,North,India,Wholesaler,29.98,3258.09,UPI,Online
16-01-2024,05:15:00,Yogurt,Dairy,92,108.33,9966.36,West,USA,Online,10.23,3559.48,Debit Card,Retail Store
16-01-2024,11:54:00,Muffins,Bakery,69,143.78,9920.82,West,Australia,Online,9.83,2268.03,UPI,Wholesale
16-01-2024,12:20:00,Bread,Bakery,35,59.87,2095.45,South,USA,Retailer,1.63,415.8,Credit Card,Wholesale
16-01-2024,01:23:00,Butter,Dairy,82,82.02,6725.64,North,USA,Online,18.82,2514.12,PayPal,Retail Store
16-01-2024,23:32:00,Cakes,Bakery,39,50.5,1969.5,North,USA,Online,16.73,515.19,Cash,Offline
16-01-2024,19:16:00,Cheese,Dairy,76,84.35,6410.6,West,India,Online,0.3,1816.4,PayPal,Online
15-03-2024,15:51:00,Protein Bars,Snacks,55,35.2,1936,East,UK,Retailer,9.03,458.7,Cash,Online
16-01-2024,20:42:00,Coffee,Beverages,92,144.38,13282.96,East,Germany,Online,15.12,4732.48,Cash,Offline
16-01-2024,22:55:00,Bread,Bakery,5,27.48,137.4,North,USA,Online,19.16,24.45,Credit Card,Wholesale
17-02-2024,13:51:00,Chips,Snacks,38,49.12,1866.56,North,UK,Retailer,27.55,245.1,UPI,Wholesale
17-01-2024,03:02:00,Cheese,Dairy,65,74.27,4827.55,East,Germany,Retailer,23.13,750.1,UPI,Offline
03-01-2024,22:10:00,Chips,Snacks,15,103.79,1556.85,South,UK,Retailer,1.83,527.1,Credit Card,Offline
18-01-2024,18:40:00,Juice,Beverages,41,128.23,5257.43,North,Germany,Online,5.4,1981.53,Credit Card,Offline
18-01-2024,11:04:00,Cheese,Dairy,46,61.42,2825.32,East,USA,Wholesaler,8.08,653.66,Debit Card,Retail Store
18-01-2024,01:48:00,Popcorn,Snacks,40,135.65,5426,North,USA,Retailer,21.03,693.6,Debit Card,Wholesale
18-01-2024,16:13:00,Bread,Bakery,84,9.1,764.4,South,Germany,Wholesaler,7.64,252.84,UPI,Offline
18-01-2024,21:56:00,Nuts,Snacks,99,44.42,4397.58,East,India,Online,15.37,847.44,UPI,Retail Store
18-01-2024,12:27:00,Protein Bars,Snacks,42,17.76,745.92,West,USA,Online,9.94,275.94,Cash,Retail Store
18-01-2024,09:59:00,Muffins,Bakery,42,84.5,3549,South,Canada,Wholesaler,6.58,860.58,Cash,Offline
18-01-2024,10:59:00,Milk,Dairy,87,71.68,6236.16,East,USA,Online,19.55,1088.37,Debit Card,Online
18-01-2024,08:11:00,Bread,Bakery,8,68.92,551.36,West,India,Retailer,18.01,57.2,UPI,Online
18-01-2024,06:54:00,Chips,Snacks,32,47.05,1505.6,East,Canada,Wholesaler,25.27,520.32,Credit Card,Online
18-01-2024,11:02:00,Cookies,Bakery,97,75.26,7300.22,South,India,Wholesaler,19.22,2798.45,Cash,Wholesale
18-01-2024,12:10:00,Popcorn,Snacks,25,86.76,2169,South,Canada,Retailer,4.29,232.75,PayPal,Offline
18-01-2024,21:01:00,Butter,Dairy,84,71.2,5980.8,North,USA,Wholesaler,29.11,1779.96,Debit Card,Retail Store
18-01-2024,13:00:00,Protein Bars,Snacks,50,107.88,5394,South,USA,Online,6.6,1487.5,PayPal,Offline
19-01-2024,02:13:00,Yogurt,Dairy,15,65.65,984.75,North,Australia,Online,25.83,103.65,Cash,Online
19-01-2024,06:29:00,Nuts,Snacks,42,50.55,2123.1,East,USA,Wholesaler,25.19,214.62,UPI,Online
19-01-2024,11:47:00,Soft Drink,Beverages,4,13.05,52.2,East,USA,Online,7.52,18.36,Cash,Retail Store
19-01-2024,12:53:00,Soft Drink,Beverages,61,93.39,5696.79,North,Germany,Retailer,11.07,1897.1,Cash,Online
20-01-2024,11:47:00,Bread,Bakery,62,124.33,7708.46,East,Australia,Wholesaler,6.87,1771.34,UPI,Offline
20-01-2024,15:27:00,Soft Drink,Beverages,89,124.53,11083.17,East,Germany,Retailer,5.37,2817.74,PayPal,Wholesale
20-01-2024,17:08:00,Cakes,Bakery,50,53.75,2687.5,North,India,Wholesaler,7.32,938.5,Credit Card,Online
05-02-2024,17:03:00,Popcorn,Snacks,20,63.89,1277.8,North,UK,Retailer,5.29,282,UPI,Wholesale
20-01-2024,23:03:00,Butter,Dairy,77,65.79,5065.83,East,Canada,Retailer,13.01,1236.62,PayPal,Wholesale
20-01-2024,19:20:00,Nuts,Snacks,34,123.9,4212.6,South,Canada,Retailer,1.63,570.52,Cash,Offline
20-01-2024,16:31:00,Tea,Beverages,74,57.02,4219.48,East,Australia,Online,21.05,647.5,PayPal,Online
20-01-2024,18:48:00,Protein Bars,Snacks,11,43.7,480.7,East,Australia,Retailer,4.18,146.41,Cash,Offline
20-01-2024,17:10:00,Cookies,Bakery,9,92.99,836.91,East,Australia,Online,8.17,227.43,Cash,Offline
21-01-2024,07:27:00,Muffins,Bakery,23,49.12,1129.76,East,Germany,Retailer,15,425.04,Credit Card,Wholesale
21-01-2024,00:11:00,Nuts,Snacks,37,77.73,2876.01,South,Germany,Wholesaler,22.27,413.29,Debit Card,Wholesale
21-01-2024,13:57:00,Bread,Bakery,68,50.91,3461.88,East,Germany,Online,8.64,1308.32,PayPal,Online
08-01-2024,16:36:00,Protein Bars,Snacks,85,13.28,1128.8,North,UK,Retailer,26.77,279.65,PayPal,Online
21-01-2024,23:55:00,Bread,Bakery,9,76.57,689.13,South,Germany,Retailer,25.21,85.5,PayPal,Offline
21-01-2024,09:45:00,Cheese,Dairy,79,22.23,1756.17,East,Australia,Wholesaler,19.97,592.5,PayPal,Online
21-01-2024,12:55:00,Popcorn,Snacks,67,132.84,8900.28,West,Germany,Online,12.79,1233.47,Credit Card,Online
